Symbol,Company Name,Industry,Series,ISIN Code
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,EQ,INE002A01018
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,EQ,INE018E01016
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,EQ,INE123W01016
SRF,SRF Ltd.,Chemicals,EQ,INE647A01010
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,EQ,INE775A01035
SHREECEM,Shree Cement Ltd.,Construction Materials,EQ,INE070A01015
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,EQ,INE721A01047
ENRIN,Siemens Energy India Ltd.,Capital Goods,EQ,INE1NPP01017
SIEMENS,Siemens Ltd.,Capital Goods,EQ,INE003A01024
SOLARINDS,Solar Industries India Ltd.,Chemicals,EQ,INE343H01029
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,EQ,INE073K01018
SBIN,State Bank of India,Financial Services,EQ,INE062A01020
SAIL,Steel Authority of India Ltd.,Metals & Mining,EQ,INE114A01011
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,EQ,INE044A01036
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,EQ,INE195A01028
SUZLON,Suzlon Energy Ltd.,Capital Goods,EQ,INE040H01021
SWIGGY,Swiggy Ltd.,Consumer Services,EQ,INE00H001014
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,EQ,INE494B01023
TATACOMM,Tata Communications Ltd.,Telecommunication,EQ,INE151A01013
TCS,Tata Consultancy Services Ltd.,Information Technology,EQ,INE467B01029
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE192A01025
TATAELXSI,Tata Elxsi Ltd.,Information Technology,EQ,INE670A01012
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,EQ,INE155A01022
TATAPOWER,Tata Power Co. Ltd.,Power,EQ,INE245A01021
TATASTEEL,Tata Steel Ltd.,Metals & Mining,EQ,INE081A01020
TATATECH,Tata Technologies Ltd.,Information Technology,EQ,INE142M01025
TECHM,Tech Mahindra Ltd.,Information Technology,EQ,INE669C01036
TITAN,Titan Company Ltd.,Consumer Durables,EQ,INE280A01028
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,EQ,INE685A01028
TORNTPOWER,Torrent Power Ltd.,Power,EQ,INE813H01021
TRENT,Trent Ltd.,Consumer Services,EQ,INE849A01020
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,EQ,INE974X01010
UPL,UPL Ltd.,Chemicals,EQ,INE628A01036
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,EQ,INE481G01011
UNIONBANK,Union Bank of India,Financial Services,EQ,INE692A01016
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,EQ,INE854D01024
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,EQ,INE200M01039
VEDL,Vedanta Ltd.,Metals & Mining,EQ,INE205A01025
VMM,Vishal Mega Mart Ltd.,Consumer Services,EQ,INE01EA01019
IDEA,Vodafone Idea Ltd.,Telecommunication,EQ,INE669E01016
VOLTAS,Voltas Ltd.,Consumer Durables,EQ,INE226A01021
WAAREEENER,Waaree Energies Ltd.,Capital Goods,EQ,INE377N01017
WIPRO,Wipro Ltd.,Information Technology,EQ,INE075A01022
YESBANK,Yes Bank Ltd.,Financial Services,EQ,INE528G01035
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,EQ,INE010B01027
